opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Tyrantrum Chingling,tyrantrum-b2-chingling-b1,1,2,0,33.33,3,0.0
Arceus ex Crobat,arceus-ex-crobat-a2a,1,2,0,33.33,3,0.0
Mega Swampert ex Mantyke,mega-swampert-ex-b2-mantyke-a4a,1,2,0,33.33,3,0.0
Mega Kangaskhan ex Indeedee ex,mega-kangaskhan-ex-b2-indeedee-ex-b1,1,2,0,33.33,3,0.0
Crobat Mega Absol ex,crobat-a2a-mega-absol-ex-b1,1,2,0,33.33,3,0.0
Alolan Ninetales ex Alolan Ninetales,alolan-ninetales-ex-b2-alolan-ninetales-a3,1,1,1,33.33,3,0.0
Entei ex Mega Blaziken ex,entei-ex-a4a-mega-blaziken-ex-b1,1,2,0,33.33,3,0.0
Paldean Clodsire ex Naganadel,paldean-clodsire-ex-a2b-naganadel-a3a,1,2,0,33.33,3,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,35,66,1,34.31,102,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,6,11,0,35.29,17,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,135,218,15,36.68,368,0.0
Cofagrigus Gourgeist,cofagrigus-b1-gourgeist-b2,3,5,0,37.5,8,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,15,25,0,37.5,40,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,32,48,3,38.55,83,0.0
Chandelure Persian,chandelure-persian-b2,2,3,0,40.0,5,0.0
Crobat ex Darkrai ex,crobat-ex-a4-darkrai-ex-a2,2,3,0,40.0,5,0.0
Silvally,silvally-a3a,4,5,1,40.0,10,0.0
Bellibolt ex Tapu Koko ex,bellibolt-ex-b2a-tapu-koko-ex-a3a,2,3,0,40.0,5,0.0
Magnezone Ditto,magnezone-b1a-ditto-a1,2,3,0,40.0,5,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,2,3,0,40.0,5,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,15,19,2,41.67,36,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,5,7,0,41.67,12,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,19,24,2,42.22,45,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,3,4,0,42.86,7,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,50,56,4,45.45,110,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,10,12,0,45.45,22,0.0
Unknown,,6,7,0,46.15,13,0.0
Skeledirge Mega Blaziken ex,skeledirge-b2a-mega-blaziken-ex-b1,6,6,1,46.15,13,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,23,25,1,46.94,49,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,243,249,14,48.02,506,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,15,15,1,48.39,31,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,366,366,10,49.33,742,0.0
Annihilape Tyrantrum,annihilape-b2a-tyrantrum-b2,1,1,0,50.0,2,0.0
Victreebel Chingling,victreebel-a1-chingling-b1,1,1,0,50.0,2,0.0
Mega Lopunny ex Hitmonchan ex,mega-lopunny-ex-b1a-hitmonchan-ex-b1,2,2,0,50.0,4,0.0
Mega Steelix ex Lopunny,mega-steelix-ex-b1a-lopunny-a2,1,1,0,50.0,2,0.0
Donphan ex Annihilape,donphan-ex-a4-annihilape-b2a,1,1,0,50.0,2,0.0
Pawmot Mega Kangaskhan ex,pawmot-b2a-mega-kangaskhan-ex-b2,1,1,0,50.0,2,0.0
Charizard ex,charizard-ex-a2b,1,1,0,50.0,2,0.0
Mega Medicham ex Passimian ex,mega-medicham-ex-p-b-passimian-ex-a3,1,1,0,50.0,2,0.0
