opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Venusaur ex Arboliva,venusaur-ex-a1-arboliva-b2a,1,1,0,50.0,2,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,5,5,0,50.0,10,0.0
Alolan Ninetales ex Maushold,alolan-ninetales-ex-b2-maushold-b2a,1,1,0,50.0,2,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,1,0,1,50.0,2,0.0
Mega Venusaur ex Pichu,mega-venusaur-ex-b1a-pichu-a4,1,1,0,50.0,2,0.0
Mega Blaziken ex Entei ex,mega-blaziken-ex-b1-entei-ex-a4a,1,1,0,50.0,2,0.0
Skeledirge Blacephalon ex,skeledirge-b2a-blacephalon-ex-b2,1,1,0,50.0,2,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,2,1,1,50.0,4,0.0
Greninja Mega Kangaskhan ex,greninja-a1-mega-kangaskhan-ex-b2,2,2,0,50.0,4,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,1,1,0,50.0,2,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,4,4,0,50.0,8,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,2,2,0,50.0,4,0.0
Palkia ex Baxcalibur,palkia-ex-a2-baxcalibur-b2a,2,2,0,50.0,4,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,2,2,0,50.0,4,0.0
Bellibolt ex Oricorio,bellibolt-ex-b2a-oricorio-a3,1,1,0,50.0,2,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,7,6,0,53.85,13,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,3,2,0,60.0,5,0.0
Chien-Pao ex Baxcalibur,chien-pao-ex-baxcalibur-b2a,3,2,0,60.0,5,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,2,1,0,66.67,3,0.0
Chandelure Meowth,chandelure-meowth-b2,2,1,0,66.67,3,0.0
Whimsicott ex Ariados,whimsicott-ex-b1-ariados-b1a,2,1,0,66.67,3,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,10,5,0,66.67,15,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,4,2,0,66.67,6,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,2,1,0,66.67,3,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,4,2,0,66.67,6,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,2,1,0,66.67,3,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,3,1,0,75.0,4,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,5,1,0,83.33,6,0.0
Magnezone Ceruledge,magnezone-b1a-ceruledge-b2a,2,0,0,100.0,2,0.0
Mega Gardevoir ex Indeedee ex,mega-gardevoir-ex-b2-indeedee-ex-b1,2,0,0,100.0,2,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,2,0,0,100.0,2,0.0
Magnezone Mega Absol ex,magnezone-b1a-mega-absol-ex-b1,1,0,0,100.0,1,0.0
Arceus ex Magby,arceus-ex-a2a-magby-a4,1,0,0,100.0,1,0.0
Probopass Mega Mawile ex,probopass-b1a-mega-mawile-ex-b2,1,0,0,100.0,1,0.0
Dragonite ex Dragonite,dragonite-ex-a3b-dragonite-a1,2,0,0,100.0,2,0.0
Crobat ex Darkrai ex,crobat-ex-a4-darkrai-ex-a2,2,0,0,100.0,2,0.0
Gholdengo ex,gholdengo-ex-b2a,2,0,0,100.0,2,0.0
Lunala ex Rayquaza ex,lunala-ex-a3-rayquaza-ex-p-a,2,0,0,100.0,2,0.0
Mega Altaria ex Altaria,mega-altaria-ex-altaria-b1,2,0,0,100.0,2,0.0
Mega Swampert ex,mega-swampert-ex-b2,2,0,0,100.0,2,0.0
Meowscarada ex Decidueye ex,meowscarada-ex-b2a-decidueye-ex-a3,2,0,0,100.0,2,0.0
Galarian Obstagoon Mega Absol ex,galarian-obstagoon-b2-mega-absol-ex-b1,2,0,0,100.0,2,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,3,0,0,100.0,3,0.0
Mega Gardevoir ex Mewtwo ex,mega-gardevoir-ex-b2-mewtwo-ex-a1,3,0,0,100.0,3,0.0
Mega Mawile ex,mega-mawile-ex-b2,3,0,0,100.0,3,0.0
Cofagrigus Gourgeist,cofagrigus-b1-gourgeist-b2,3,0,0,100.0,3,0.0
Gholdengo ex Galarian Perrserker,gholdengo-ex-b2a-galarian-perrserker-b2,4,0,0,100.0,4,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,6,0,0,100.0,6,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,2,0,0,100.0,2,0.0
Mega Kangaskhan ex Arceus ex,mega-kangaskhan-ex-b2-arceus-ex-a2a,1,0,0,100.0,1,0.0
Snorlax ex Indeedee ex,snorlax-ex-a3b-indeedee-ex-b1,1,0,0,100.0,1,0.0
Meowscarada Decidueye ex,meowscarada-a2b-decidueye-ex-a3,1,0,0,100.0,1,0.0
Aerodactyl ex Annihilape,aerodactyl-ex-a1a-annihilape-b2a,1,0,0,100.0,1,0.0
Pawmot,pawmot-b2a,1,0,0,100.0,1,0.0
Snorlax ex Tyrantrum,snorlax-ex-a3b-tyrantrum-b2,1,0,0,100.0,1,0.0
Arceus ex Mega Kangaskhan ex,arceus-ex-a2a-mega-kangaskhan-ex-b2,1,0,0,100.0,1,0.0
Gengar ex Mega Gardevoir ex,gengar-ex-a1-mega-gardevoir-ex-b2,1,0,0,100.0,1,0.0
Jolteon ex Magnezone,jolteon-ex-b1-magnezone-b1a,1,0,0,100.0,1,0.0
Leafeon ex Mega Pinsir ex,leafeon-ex-a2a-mega-pinsir-ex-b1,1,0,0,100.0,1,0.0
Skeledirge,skeledirge-b2a,1,0,0,100.0,1,0.0
Gholdengo ex Indeedee ex,gholdengo-ex-b2a-indeedee-ex-b1,1,0,0,100.0,1,0.0
Decidueye ex Jolteon ex,decidueye-ex-a3-jolteon-ex-b1,1,0,0,100.0,1,0.0
Incineroar ex,incineroar-ex-a3,1,0,0,100.0,1,0.0
Ho-Oh ex Lugia ex,ho-oh-ex-lugia-ex-a4,1,0,0,100.0,1,0.0
Jolteon ex Pikachu ex,jolteon-ex-b1-pikachu-ex-a2b,1,0,0,100.0,1,0.0
Leafeon ex Celebi ex,leafeon-ex-a2a-celebi-ex-a1a,1,0,0,100.0,1,0.0
Chandelure Mismagius ex,chandelure-b2-mismagius-ex-a2,1,0,0,100.0,1,0.0
Solgaleo ex Orthworm,solgaleo-ex-a3-orthworm-b2a,1,0,0,100.0,1,0.0
Alolan Ninetales ex Silvally,alolan-ninetales-ex-b2-silvally-a3a,1,0,0,100.0,1,0.0
