opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Magnezone Galvantula,magnezone-b1a-galvantula-a3b,2,7,0,22.22,9,0.0
Oricorio,oricorio-a3,3,10,0,23.08,13,0.0
Melmetal ex Indeedee ex,melmetal-ex-indeedee-ex-b1,1,2,1,25.0,4,0.0
Jolteon ex,jolteon-ex-b1,1,3,0,25.0,4,0.0
Lunala ex Mimikyu ex,lunala-ex-a3-mimikyu-ex-b2,1,3,0,25.0,4,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,3,9,0,25.0,12,0.0
Mega Mawile ex,mega-mawile-ex-b2,1,3,0,25.0,4,0.0
Baxcalibur Aurorus,baxcalibur-b2a-aurorus-b2,1,3,0,25.0,4,0.0
Silvally Oricorio,silvally-a3a-oricorio-a3,3,8,0,27.27,11,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,6,14,1,28.57,21,0.0
Magnezone Silvally,magnezone-b1a-silvally-a3a,2,5,0,28.57,7,0.0
Mega Gardevoir ex Indeedee ex,mega-gardevoir-ex-b2-indeedee-ex-b1,2,5,0,28.57,7,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,8,18,1,29.63,27,0.0
Mega Altaria ex Altaria,mega-altaria-ex-altaria-b1,5,11,0,31.25,16,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,6,12,1,31.58,19,0.0
Dusknoir Houndstone,dusknoir-b1-houndstone-b2a,1,2,0,33.33,3,0.0
Magnezone Mega Absol ex,magnezone-b1a-mega-absol-ex-b1,6,11,1,33.33,18,0.0
Suicune ex Chien-Pao ex,suicune-ex-a4a-chien-pao-ex-b2a,2,4,0,33.33,6,0.0
Magnezone Bellibolt ex,magnezone-a2-bellibolt-ex-b2a,2,4,0,33.33,6,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,26,50,2,33.33,78,0.0
Annihilape Mega Lopunny ex,annihilape-b2a-mega-lopunny-ex-b1a,1,2,0,33.33,3,0.0
Serperior Teal Mask Ogerpon ex,serperior-a1a-teal-mask-ogerpon-ex-b2,1,2,0,33.33,3,0.0
Magnezone Mega Kangaskhan ex,magnezone-b1a-mega-kangaskhan-ex-b2,1,2,0,33.33,3,0.0
Gyarados Chien-Pao ex,gyarados-a4-chien-pao-ex-b2a,1,2,0,33.33,3,0.0
Mega Steelix ex Skarmory,mega-steelix-ex-b1a-skarmory-a2,1,1,1,33.33,3,0.0
